Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
2,72,61500,854,Olosig,https://www.storia.ro/ro/oferta/apartament-la-curte-cu-2-camere-de-vnzare-n-zona-ultracentral-IDkm2A.html#93beb24ec9
2,55,67000,1218,Rogerius,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-bloc-nou-rogerius-IDkFPf.html#93beb24ec9
3,75,73000,973,Seleus,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-prima-nufarul-oradea-IDlBAc.html#93beb24ec9
3,90,89900,999,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-bolcas-IDhV2G.html#93beb24ec9
2,38,34000,895,Velenta,https://www.storia.ro/ro/oferta/apartament-2-camere-velenta-IDli8S.html#93beb24ec9
2,60,74000,1233,Universitatii,https://www.storia.ro/ro/oferta/apartament-2-camere-prima-universitatii-IDligp.html#93beb24ec9
2,83,69000,831,Universitatii,https://www.storia.ro/ro/oferta/apartament-2-camere-rogerius-IDli9d.html#93beb24ec9
3,105,63500,605,Dragos Voda,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-dragos-voda-IDli8U.html#93beb24ec9
4,152,89000,586,Oradea,https://www.storia.ro/ro/oferta/casa-in-curte-comuna-ultracentral-IDkgtG.html#93beb24ec9
5,170,156500,921,Oradea,https://www.storia.ro/ro/oferta/apartament-spatios-5-camere-de-vanzare-pe-tudor-vladimirescu-oradea-IDlC26.html#93beb24ec9
2,55,61000,1109,Rogerius,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-tip-pb-rogerius-oradea-IDlLQM.html#93beb24ec9
1,30,24800,1222,Olosig,https://www.storia.ro/ro/oferta/vand-garsoniera-piata-decebal-20mp-str-menumorut-nr-8-IDm5RS.html#612df595f6
3,85,84000,988,Decebal-Dacia,https://www.storia.ro/ro/oferta/aprtament-3-camere-bd-dacia-IDlRTh.html#612df595f6
3,90,77900,866,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-central-cu-3-camere-de-vnzare-ofert-avantajoas-IDlKb5.html#612df595f6
3,76,59500,785,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-4-4-zona-dacia-IDm1cs.html#612df595f6
2,60,49000,817,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-la-casa-constructie-noua-zona-prima-shops-oradea-IDkOs7.html#612df595f6
2,68,69000,1015,Universitatii,https://www.storia.ro/ro/oferta/oferta-apartament-2-camere-prima-universitatii-IDhVmR.html#612df595f6
2,76,63500,836,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm2ZR.html#612df595f6
2,65,48000,738,Nufarul 2,https://www.storia.ro/ro/oferta/ap-2-cam50mp-2-balcoane-bisericuta-lotus-nufarul-i-by-re4ma-IDlUke.html#612df595f6
2,78,65000,833,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm2YY.html#612df595f6
4,206,190000,922,Oradea,https://www.storia.ro/ro/oferta/apartament-nou-lux-4-camere-2-bai-ultracentral-IDiYI0.html#612df595f6
3,110,105000,955,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-central-str-iuliu-maniu-IDkZmr.html#612df595f6
2,42,40900,974,Velenta,https://www.storia.ro/ro/oferta/apartament-de-vanzare-schimb-2-camere-pe-strada-gradinarilor-oradea-IDi8AY.html#612df595f6
3,87,57900,666,Oradea,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-zona-centrala-decebal-IDlwca.html#612df595f6
3,82,76500,933,Rogerius,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-rogerius-oradea-IDlIDC.html#612df595f6
4,150,90000,600,Oradea,https://www.storia.ro/ro/oferta/apartament-casa-zona-centrala-in-suprafata-de-150-mp-IDjFQ.html#612df595f6
